,problem,correct_solution,intermediate_1,intermediate_2
394,"[-2, -6, -5] ⋅ [-7, -2, 6]",-4,14,-30
395,"[0, -7, -10] ⋅ [0, -3, -7]",91,0,70
396,"[-8, -6, -10] ⋅ [9, -6, 7]",-106,-72,-70
397,"[-9, -7, 1] ⋅ [5, -2, 8]",-23,-45,8
398,"[-6, -1, -6] ⋅ [9, 7, -7]",-19,-54,42
399,"[6, -8, -2] ⋅ [-1, -6, -3]",48,-6,6
400,"[9, 0, -2] ⋅ [9, -10, 4]",73,81,-8
401,"[0, 0, -4] ⋅ [-5, -7, -7]",28,0,28
402,"[7, 4, 2] ⋅ [7, 7, 4]",85,49,8
403,"[0, 1, -6] ⋅ [9, -3, 3]",-21,0,-18
404,"[3, 2, -8] ⋅ [-7, -10, -5]",-1,-21,40
405,"[-9, 4, -8] ⋅ [3, -6, 5]",-91,-27,-40
406,"[-9, 6, -6] ⋅ [-9, -10, -10]",81,81,60
407,"[-8, 7, -10] ⋅ [-7, 8, -6]",172,56,60
408,"[-1, 7, -10] ⋅ [5, 6, -9]",127,-5,90
409,"[0, -3, -2] ⋅ [1, -7, -9]",39,0,18
410,"[-8, 5, 5] ⋅ [-10, 4, -8]",60,80,-40
411,"[-1, 0, 8] ⋅ [7, -4, -10]",-87,-7,-80
412,"[-3, -9, -1] ⋅ [-1, 7, 1]",-61,3,-1
413,"[-3, -4, -1] ⋅ [5, -2, -7]",0,-15,7
414,"[-6, 9, 8] ⋅ [-5, -7, -6]",-81,30,-48
415,"[-4, 1, -4] ⋅ [-2, -2, 9]",-30,8,-36
416,"[5, -8, -10] ⋅ [6, 4, 2]",-22,30,-20
417,"[2, 6, -10] ⋅ [3, 1, -3]",42,6,30
418,"[-2, -8, -9] ⋅ [7, -3, -5]",55,-14,45
419,"[6, -6, -5] ⋅ [3, 5, 5]",-37,18,-25
420,"[-10, 3, 0] ⋅ [7, 7, 8]",-49,-70,0
421,"[-8, -9, 8] ⋅ [8, 7, 0]",-127,-64,0
422,"[-8, 1, -5] ⋅ [-9, -8, -6]",94,72,30
423,"[1, 7, 1] ⋅ [0, 1, 8]",15,0,8
424,"[7, -1, 9] ⋅ [-7, -8, -5]",-86,-49,-45
425,"[4, 5, -7] ⋅ [-5, 7, -10]",85,-20,70
426,"[4, -10, -1] ⋅ [8, 8, 1]",-49,32,-1
427,"[5, 5, -6] ⋅ [9, 5, -4]",94,45,24
428,"[-5, -10, 3] ⋅ [5, 0, -4]",-37,-25,-12
429,"[-3, 9, -7] ⋅ [2, 0, 5]",-41,-6,-35
430,"[9, 4, 4] ⋅ [-5, 6, -2]",-29,-45,-8
431,"[-4, -4, 4] ⋅ [7, 5, 2]",-40,-28,8
432,"[0, -1, 8] ⋅ [-2, 3, 2]",13,0,16
433,"[5, 8, -10] ⋅ [-8, -3, -8]",16,-40,80
434,"[1, -7, -3] ⋅ [-2, 1, -4]",3,-2,12
435,"[-7, 6, -6] ⋅ [-1, -10, -9]",1,7,54
436,"[6, -8, 4] ⋅ [-2, -4, 4]",36,-12,16
437,"[4, 8, 8] ⋅ [5, 7, -9]",4,20,-72
438,"[8, -6, -5] ⋅ [7, 4, -9]",77,56,45
439,"[-10, -2, -5] ⋅ [-10, -3, 6]",76,100,-30
440,"[3, 7, 7] ⋅ [3, -5, -10]",-96,9,-70
441,"[-8, 2, 4] ⋅ [-4, -10, -3]",0,32,-12
442,"[-8, 3, 4] ⋅ [8, -7, -2]",-93,-64,-8
443,"[-8, -4, -1] ⋅ [-7, 8, 0]",24,56,0
444,"[-9, 6, 9] ⋅ [0, -3, -5]",-63,0,-45
445,"[4, 2, 8] ⋅ [6, 8, -2]",24,24,-16
446,"[9, -6, -7] ⋅ [-2, 7, -4]",-32,-18,28
447,"[4, 6, 2] ⋅ [-8, 0, -2]",-36,-32,-4
448,"[4, 3, 8] ⋅ [7, 4, -2]",24,28,-16
449,"[1, 0, 2] ⋅ [8, 0, 0]",8,8,0
450,"[7, 1, -10] ⋅ [9, 3, -10]",166,63,100
451,"[-1, -5, -6] ⋅ [-5, 7, -4]",-6,5,24
452,"[1, 8, -9] ⋅ [6, -8, 3]",-85,6,-27
453,"[5, 9, -2] ⋅ [-4, -3, 8]",-63,-20,-16
454,"[6, -8, 7] ⋅ [2, -3, -8]",-20,12,-56
455,"[-5, -4, 6] ⋅ [0, 4, 5]",14,0,30
456,"[-1, -2, 1] ⋅ [7, 9, -10]",-35,-7,-10
457,"[-3, -1, -1] ⋅ [8, 0, -3]",-21,-24,3
458,"[-1, 1, 1] ⋅ [-4, 1, -2]",3,4,-2
459,"[3, -9, 5] ⋅ [-5, -9, -8]",26,-15,-40
460,"[2, 2, -8] ⋅ [8, 7, 9]",-42,16,-72
461,"[-5, 1, 1] ⋅ [9, -1, -10]",-56,-45,-10
462,"[2, -5, -5] ⋅ [5, 3, -7]",30,10,35
463,"[-10, 0, 1] ⋅ [5, -8, 8]",-42,-50,8
464,"[0, -4, 0] ⋅ [0, 4, 3]",-16,0,0
465,"[-6, 7, -4] ⋅ [-5, 7, 7]",51,30,-28
466,"[8, -7, 9] ⋅ [-4, -9, 0]",31,-32,0
467,"[0, -6, -4] ⋅ [-6, 9, -5]",-34,0,20
468,"[4, -9, -8] ⋅ [-10, 0, -1]",-32,-40,8
469,"[-5, -5, -5] ⋅ [2, 4, -4]",-10,-10,20
470,"[3, -2, -3] ⋅ [7, -6, -5]",48,21,15
471,"[3, -5, 6] ⋅ [5, 2, 8]",53,15,48
472,"[2, -2, 1] ⋅ [4, 1, 7]",13,8,7
473,"[-2, 0, 3] ⋅ [-1, 9, -10]",-28,2,-30
474,"[-7, -5, -1] ⋅ [-5, 2, -4]",29,35,4
475,"[-6, 0, -4] ⋅ [0, 9, -8]",32,0,32
476,"[-7, -2, 1] ⋅ [9, -10, 8]",-35,-63,8
477,"[9, -10, 1] ⋅ [1, 3, 0]",-21,9,0
478,"[8, -5, -1] ⋅ [3, 0, -1]",25,24,1
479,"[-6, 3, -6] ⋅ [-10, 5, 8]",27,60,-48
480,"[-9, -7, 8] ⋅ [0, 3, 1]",-13,0,8
481,"[-4, -2, 6] ⋅ [-2, 6, -7]",-46,8,-42
482,"[4, 7, -3] ⋅ [-9, 6, -1]",9,-36,3
483,"[-8, 8, -5] ⋅ [4, -5, -8]",-32,-32,40
484,"[0, 0, -9] ⋅ [-6, 7, 8]",-72,0,-72
485,"[5, 5, -9] ⋅ [5, 4, -1]",54,25,9
486,"[2, 8, 4] ⋅ [5, -4, 9]",14,10,36
487,"[-3, 1, -7] ⋅ [-9, -1, 3]",5,27,-21
488,"[-4, -8, 3] ⋅ [3, 4, 4]",-32,-12,12
489,"[1, 0, -1] ⋅ [1, 9, -7]",8,1,7
490,"[-9, -10, 6] ⋅ [0, 1, 0]",-10,0,0
491,"[1, -5, 1] ⋅ [5, -7, -10]",30,5,-10
492,"[-1, 0, -9] ⋅ [9, 6, 2]",-27,-9,-18
493,"[4, 6, 5] ⋅ [8, -1, -10]",-24,32,-50
494,"[-10, -9, -6] ⋅ [-9, 9, 9]",-45,90,-54
495,"[0, 8, 9] ⋅ [-8, 6, -10]",-42,0,-90
496,"[-8, 1, -4] ⋅ [-1, 2, -8]",42,8,32
497,"[-5, 5, 2] ⋅ [0, 6, -3]",24,0,-6
498,"[4, 5, 2] ⋅ [5, -8, -10]",-40,20,-20
499,"[4, 5, 0] ⋅ [-5, -6, 6]",-50,-20,0
500,"[-7, -1, -7] ⋅ [0, 1, -5]",34,0,35
501,"[-1, 2, 1] ⋅ [-4, 9, -8]",14,4,-8
502,"[2, 0, -7] ⋅ [4, 1, 7]",-41,8,-49
503,"[-6, 6, -9] ⋅ [-3, 8, -7]",129,18,63
504,"[-6, 6, 0] ⋅ [6, 7, 0]",6,-36,0
505,"[2, -5, -6] ⋅ [9, 9, -8]",21,18,48
506,"[8, -5, -3] ⋅ [2, -8, 2]",50,16,-6
507,"[-9, -2, -5] ⋅ [6, -3, 9]",-93,-54,-45
508,"[-6, -7, 4] ⋅ [6, -10, 7]",62,-36,28
509,"[6, -9, 3] ⋅ [-4, 3, -7]",-72,-24,-21
510,"[-4, 4, -8] ⋅ [6, -8, -1]",-48,-24,8
511,"[8, -1, 2] ⋅ [7, -4, 4]",68,56,8
512,"[-8, -3, -10] ⋅ [5, -4, -8]",52,-40,80
513,"[-4, 0, -1] ⋅ [1, -7, -7]",3,-4,7
514,"[2, -10, 8] ⋅ [5, -3, 4]",72,10,32
515,"[-3, 1, -9] ⋅ [9, -8, 7]",-98,-27,-63
516,"[-10, 1, -10] ⋅ [-9, 7, -4]",137,90,40
517,"[7, -4, -2] ⋅ [8, 2, 6]",36,56,-12
518,"[-3, -1, 5] ⋅ [-1, 0, 6]",33,3,30
519,"[5, 6, 7] ⋅ [6, -1, 5]",59,30,35
520,"[6, 2, -7] ⋅ [1, -9, -8]",44,6,56
521,"[3, -4, -9] ⋅ [2, -6, -4]",66,6,36
522,"[-2, 7, -10] ⋅ [4, -10, -1]",-68,-8,10
523,"[4, -2, -7] ⋅ [4, -1, -2]",32,16,14
524,"[-9, -4, -1] ⋅ [-7, 5, -7]",50,63,7
525,"[-9, 4, -8] ⋅ [0, 2, -6]",56,0,48
526,"[-1, 3, 6] ⋅ [7, 2, 7]",41,-7,42
527,"[-7, -3, -9] ⋅ [-5, -5, 1]",41,35,-9
528,"[5, 8, 4] ⋅ [3, 0, 2]",23,15,8
529,"[2, -2, -3] ⋅ [-3, -6, -8]",30,-6,24
530,"[4, -7, 0] ⋅ [4, -9, 7]",79,16,0
531,"[4, -1, 2] ⋅ [-2, 6, -5]",-24,-8,-10
532,"[-1, -8, -8] ⋅ [-1, -2, 2]",1,1,-16
533,"[4, 6, 3] ⋅ [5, 1, 3]",35,20,9
534,"[8, 9, -3] ⋅ [-7, -5, -1]",-98,-56,3
535,"[-2, 8, 5] ⋅ [6, 7, -10]",-6,-12,-50
536,"[5, 2, -5] ⋅ [-4, 0, -9]",25,-20,45
537,"[7, 5, 0] ⋅ [1, -2, 9]",-3,7,0
538,"[-1, 0, 0] ⋅ [-10, 8, -8]",10,10,0
539,"[-1, -8, 0] ⋅ [-5, 8, -9]",-59,5,0
540,"[5, -3, 6] ⋅ [9, 6, 1]",33,45,6
541,"[3, -1, 3] ⋅ [0, -5, 3]",14,0,9
542,"[-1, 9, 4] ⋅ [2, 7, 9]",97,-2,36
543,"[-4, -7, 6] ⋅ [-8, -8, 8]",136,32,48
544,"[4, 4, -3] ⋅ [-8, -9, -9]",-41,-32,27
545,"[-6, -2, -3] ⋅ [-9, 6, 1]",39,54,-3
546,"[8, 2, -8] ⋅ [-8, 6, -4]",-20,-64,32
547,"[-1, -10, -5] ⋅ [-3, -10, -10]",153,3,50
548,"[6, 7, -6] ⋅ [-1, 2, -9]",62,-6,54
549,"[-1, 7, 3] ⋅ [9, 6, -10]",3,-9,-30
550,"[4, -8, -4] ⋅ [-10, -6, 7]",-20,-40,-28
551,"[8, -5, -8] ⋅ [3, -10, 0]",74,24,0
552,"[-4, 7, -9] ⋅ [-3, -1, -3]",32,12,27
553,"[4, -5, 9] ⋅ [6, -3, -2]",21,24,-18
554,"[-8, 8, -4] ⋅ [2, 2, 3]",-12,-16,-12
555,"[-8, 6, 0] ⋅ [3, 3, -4]",-6,-24,0
556,"[1, -5, 7] ⋅ [8, 4, -9]",-75,8,-63
557,"[-7, -6, 1] ⋅ [7, -5, 9]",-10,-49,9
558,"[-5, 1, -4] ⋅ [6, -7, 9]",-73,-30,-36
559,"[-1, -3, 4] ⋅ [1, 9, -9]",-64,-1,-36
560,"[4, -5, 9] ⋅ [8, 6, -1]",-7,32,-9
561,"[0, -6, -9] ⋅ [0, -1, -9]",87,0,81
562,"[-10, -3, -6] ⋅ [-6, 0, -7]",102,60,42
563,"[-8, -3, 3] ⋅ [-3, -6, -4]",30,24,-12
564,"[3, 9, -3] ⋅ [1, -8, 6]",-87,3,-18
565,"[-2, -6, 0] ⋅ [1, -10, -4]",58,-2,0
566,"[-5, -2, 8] ⋅ [-2, 8, -1]",-14,10,-8
567,"[-9, -9, -1] ⋅ [5, -1, -6]",-30,-45,6
568,"[-10, -9, 4] ⋅ [1, -3, -1]",13,-10,-4
569,"[-4, -3, -9] ⋅ [2, 3, -9]",64,-8,81
570,"[-4, 5, -4] ⋅ [7, -10, -4]",-62,-28,16
571,"[6, 4, 2] ⋅ [7, -3, -2]",26,42,-4
572,"[-9, 4, -1] ⋅ [0, 4, -7]",23,0,7
573,"[-9, -9, 0] ⋅ [-8, -3, 3]",99,72,0
574,"[-5, -4, -5] ⋅ [-9, -8, 9]",32,45,-45
575,"[2, 7, -2] ⋅ [9, -7, 3]",-37,18,-6
576,"[-5, -8, 2] ⋅ [8, -1, -4]",-40,-40,-8
577,"[1, -4, 7] ⋅ [-3, -3, 0]",9,-3,0
578,"[-5, -5, -10] ⋅ [6, -3, -6]",45,-30,60
579,"[-5, 5, 6] ⋅ [-1, -5, 6]",16,5,36
580,"[1, 1, 9] ⋅ [6, 9, 9]",96,6,81
581,"[-3, -5, 8] ⋅ [0, -2, -4]",-22,0,-32
582,"[2, -6, 4] ⋅ [-8, 8, -2]",-72,-16,-8
583,"[4, -9, -4] ⋅ [-2, -2, 3]",-2,-8,-12
584,"[-2, -3, -6] ⋅ [0, -5, -5]",45,0,30
585,"[-3, -8, 8] ⋅ [5, 4, -4]",-79,-15,-32
586,"[-5, 1, -7] ⋅ [-9, -1, 8]",-12,45,-56
587,"[4, -8, -6] ⋅ [0, -5, 2]",28,0,-12
588,"[0, 3, -5] ⋅ [-1, -6, 6]",-48,0,-30
589,"[7, -10, 2] ⋅ [-2, 6, -5]",-84,-14,-10
590,"[2, 3, 2] ⋅ [1, -4, 2]",-6,2,4
591,"[0, -1, 0] ⋅ [-7, 3, 4]",-3,0,0
592,"[-6, 0, -8] ⋅ [-4, 0, -8]",88,24,64
593,"[-1, -6, 0] ⋅ [-1, -4, 1]",25,1,0
594,"[0, -4, -7] ⋅ [-7, -6, -4]",52,0,28
595,"[-2, 0, -7] ⋅ [2, 3, -3]",17,-4,21
596,"[-3, 1, -2] ⋅ [-8, -6, -7]",32,24,14
597,"[3, -6, -7] ⋅ [2, 0, -7]",55,6,49
598,"[4, 6, 5] ⋅ [8, -2, -7]",-15,32,-35
599,"[-1, 7, -3] ⋅ [-5, 6, 4]",35,5,-12
600,"[-8, -3, -4] ⋅ [-4, 5, -10]",57,32,40
601,"[-8, -4, 1] ⋅ [-9, -9, 3]",111,72,3
602,"[-8, -6, -10] ⋅ [0, -8, 3]",18,0,-30
603,"[-1, 6, -9] ⋅ [-3, 5, 3]",6,3,-27
604,"[-10, 1, 0] ⋅ [-4, 5, 2]",45,40,0
605,"[-9, -4, -2] ⋅ [-8, -3, -4]",92,72,8
606,"[0, -5, 1] ⋅ [-7, -4, -9]",11,0,-9
607,"[0, -4, -3] ⋅ [7, -3, 9]",-15,0,-27
608,"[-10, -3, 7] ⋅ [7, -1, 6]",-25,-70,42
609,"[2, -5, 9] ⋅ [-2, 5, -9]",-110,-4,-81
610,"[4, -8, 2] ⋅ [-1, -6, 9]",62,-4,18
611,"[-4, -1, -9] ⋅ [-8, -5, 4]",1,32,-36
612,"[-5, 0, -1] ⋅ [-5, 7, 5]",20,25,-5
613,"[0, -8, -1] ⋅ [-10, -6, 9]",39,0,-9
614,"[2, -6, -2] ⋅ [1, 9, 4]",-60,2,-8
615,"[8, 1, 8] ⋅ [-2, -10, -4]",-58,-16,-32
616,"[-8, 6, -9] ⋅ [8, 8, 7]",-79,-64,-63
617,"[-8, 2, 4] ⋅ [-1, -1, -6]",-18,8,-24
618,"[-9, -10, 1] ⋅ [-10, -9, 5]",185,90,5
619,"[-10, 2, 7] ⋅ [-5, 2, -2]",40,50,-14
620,"[5, 7, -10] ⋅ [6, -9, -2]",-13,30,20
621,"[-7, -7, -5] ⋅ [2, 5, 6]",-79,-14,-30
622,"[-4, 7, 4] ⋅ [9, -8, -4]",-108,-36,-16
623,"[0, 2, 0] ⋅ [7, 7, 3]",14,0,0
624,"[2, -10, 2] ⋅ [-10, -9, -2]",66,-20,-4
625,"[-4, -9, 3] ⋅ [-4, 1, 8]",31,16,24
626,"[0, -3, -9] ⋅ [-4, 8, 9]",-105,0,-81
627,"[-5, 1, 8] ⋅ [9, -7, -9]",-124,-45,-72
628,"[-7, 7, -1] ⋅ [-1, -7, 6]",-48,7,-6
629,"[-10, -10, 7] ⋅ [4, 5, -10]",-160,-40,-70
630,"[7, -9, -9] ⋅ [-5, -5, 3]",-17,-35,-27
631,"[-8, 0, -8] ⋅ [4, 0, -1]",-24,-32,8
632,"[0, 8, 6] ⋅ [8, 9, 5]",102,0,30
633,"[7, 1, 5] ⋅ [-7, -4, -9]",-98,-49,-45
634,"[8, -8, -10] ⋅ [-6, 6, -1]",-86,-48,10
635,"[1, 0, 0] ⋅ [-5, -1, 4]",-5,-5,0
636,"[4, 5, 2] ⋅ [-6, 6, 6]",18,-24,12
637,"[5, -3, 7] ⋅ [2, -8, -4]",6,10,-28
638,"[6, -5, 5] ⋅ [-2, 1, 5]",8,-12,25
639,"[1, -4, 5] ⋅ [8, 8, -1]",-29,8,-5
640,"[4, -3, 0] ⋅ [2, -6, 6]",26,8,0
641,"[-6, 0, -3] ⋅ [9, -5, 3]",-63,-54,-9
642,"[0, -2, 6] ⋅ [-3, -3, -2]",-6,0,-12
643,"[-2, 6, 0] ⋅ [-2, -9, -6]",-50,4,0
644,"[-9, -7, 7] ⋅ [6, 9, -2]",-131,-54,-14
645,"[1, 0, 1] ⋅ [-1, 6, -5]",-6,-1,-5
646,"[-4, 3, -10] ⋅ [3, -7, 6]",-93,-12,-60
647,"[7, -8, -8] ⋅ [6, 2, 5]",-14,42,-40
648,"[5, 2, 3] ⋅ [-3, -1, 1]",-14,-15,3
649,"[8, 5, 6] ⋅ [1, -8, 6]",4,8,36
650,"[4, 1, 5] ⋅ [-8, -5, 1]",-32,-32,5
651,"[6, -8, -7] ⋅ [-7, 8, 9]",-169,-42,-63
652,"[2, 4, -4] ⋅ [3, 8, -5]",58,6,20
653,"[-9, -6, -10] ⋅ [-9, -8, 1]",119,81,-10
654,"[-6, 8, 7] ⋅ [0, 3, -7]",-25,0,-49
655,"[-2, 3, -8] ⋅ [-8, 7, -5]",77,16,40
656,"[-2, 6, -7] ⋅ [-1, -7, -4]",-12,2,28
657,"[-7, -3, 1] ⋅ [0, -6, 5]",23,0,5
658,"[-3, 9, 5] ⋅ [8, -1, -4]",-53,-24,-20
659,"[3, 0, 0] ⋅ [-8, 7, 1]",-24,-24,0
660,"[4, 1, -4] ⋅ [-3, 9, -9]",33,-12,36
661,"[-8, -8, 9] ⋅ [3, -4, 4]",44,-24,36
662,"[-10, -4, -3] ⋅ [6, 3, 1]",-75,-60,-3
663,"[-1, 1, -2] ⋅ [2, -4, -7]",8,-2,14
664,"[-2, 3, -6] ⋅ [-2, -10, 4]",-50,4,-24
665,"[-3, 7, 8] ⋅ [1, -3, 5]",16,-3,40
666,"[-9, 6, -5] ⋅ [-6, 6, -3]",105,54,15
667,"[-7, -1, -1] ⋅ [4, 1, -7]",-22,-28,7
668,"[-4, -3, -2] ⋅ [-5, 7, 0]",-1,20,0
669,"[8, 1, -10] ⋅ [0, 4, -7]",74,0,70
670,"[-1, 1, -5] ⋅ [-8, 7, 5]",-10,8,-25
671,"[-2, 8, 7] ⋅ [-5, -5, -7]",-79,10,-49
672,"[6, -5, -6] ⋅ [-8, 5, 0]",-73,-48,0
673,"[5, 7, -2] ⋅ [3, -3, -8]",10,15,16
674,"[3, -10, -3] ⋅ [5, -10, 6]",97,15,-18
675,"[7, 5, 2] ⋅ [8, 9, -7]",87,56,-14
676,"[-3, -9, 8] ⋅ [-10, -6, -2]",68,30,-16
677,"[6, 9, 7] ⋅ [8, -4, 7]",61,48,49
678,"[9, 4, -6] ⋅ [-2, -10, 7]",-100,-18,-42
679,"[-5, 6, -6] ⋅ [2, 6, -1]",32,-10,6
680,"[-10, 9, 4] ⋅ [7, -9, -2]",-159,-70,-8
681,"[0, -10, -3] ⋅ [-4, 6, 1]",-63,0,-3
682,"[4, 3, 4] ⋅ [-6, 4, -4]",-28,-24,-16
683,"[-9, -8, 5] ⋅ [8, 9, -9]",-189,-72,-45
684,"[-10, -3, -3] ⋅ [-1, 6, 8]",-32,10,-24
685,"[-4, 6, 3] ⋅ [0, -6, 5]",-21,0,15
686,"[-5, -1, 5] ⋅ [8, 3, -7]",-78,-40,-35
687,"[-9, 5, -9] ⋅ [-4, 3, -2]",69,36,18
688,"[5, -2, -8] ⋅ [-4, 6, -3]",-8,-20,24
689,"[-7, 5, 8] ⋅ [-9, -9, -7]",-38,63,-56
690,"[-4, -8, 7] ⋅ [4, -4, 0]",16,-16,0
691,"[-4, -10, -2] ⋅ [-8, 6, 2]",-32,32,-4
692,"[5, 4, 8] ⋅ [0, -4, -2]",-32,0,-16
693,"[-1, -1, -8] ⋅ [-4, -4, -2]",24,4,16
694,"[-10, 3, -6] ⋅ [-9, 7, -10]",171,90,60
695,"[6, 7, -10] ⋅ [8, -5, -1]",23,48,10
696,"[-1, -9, 2] ⋅ [-3, -2, -7]",7,3,-14
697,"[3, -10, -3] ⋅ [6, 6, -8]",-18,18,24
698,"[7, -1, 0] ⋅ [8, 2, -10]",54,56,0
699,"[-1, -1, 2] ⋅ [-3, -9, 4]",20,3,8
700,"[0, -9, -9] ⋅ [0, 5, 0]",-45,0,0
701,"[-4, -5, 3] ⋅ [8, -4, -4]",-24,-32,-12
702,"[3, -3, -4] ⋅ [3, 0, -10]",49,9,40
703,"[-1, -7, -8] ⋅ [4, 6, 4]",-78,-4,-32
704,"[3, 3, -4] ⋅ [-2, 2, -3]",12,-6,12
705,"[8, 9, 0] ⋅ [-4, 0, -4]",-32,-32,0
706,"[9, -7, 1] ⋅ [-5, -10, -2]",23,-45,-2
707,"[4, 6, 6] ⋅ [-10, -3, 9]",-4,-40,54
708,"[-6, 2, -9] ⋅ [-5, 3, 8]",-36,30,-72
709,"[-3, -4, -6] ⋅ [6, 0, -8]",30,-18,48
710,"[-4, 6, 2] ⋅ [6, 1, 2]",-14,-24,4
711,"[3, 1, -10] ⋅ [1, -2, 6]",-59,3,-60
712,"[-1, -1, 6] ⋅ [4, -1, 9]",51,-4,54
713,"[-5, -5, -4] ⋅ [-6, -2, 2]",32,30,-8
714,"[-9, 7, 4] ⋅ [1, 3, -2]",4,-9,-8
715,"[5, 2, -10] ⋅ [-1, 1, 2]",-23,-5,-20
716,"[4, -8, -8] ⋅ [-10, 5, 2]",-96,-40,-16
717,"[-3, 3, -8] ⋅ [9, -1, -1]",-22,-27,8
718,"[0, 8, -4] ⋅ [6, -6, -9]",-12,0,36
719,"[-3, 5, 3] ⋅ [-7, -10, -9]",-56,21,-27
720,"[7, 2, 1] ⋅ [-9, 4, 3]",-52,-63,3
721,"[-10, 9, -3] ⋅ [-7, -3, -5]",58,70,15
722,"[-3, 9, 6] ⋅ [-3, -8, 4]",-39,9,24
723,"[4, -4, 0] ⋅ [-8, -9, -10]",4,-32,0
724,"[-4, -9, 6] ⋅ [0, -10, 1]",96,0,6
725,"[2, 0, 4] ⋅ [-9, -1, 7]",10,-18,28
726,"[-4, -1, -2] ⋅ [6, 0, -9]",-6,-24,18
727,"[5, -3, -4] ⋅ [-7, 9, -7]",-34,-35,28
728,"[-7, -8, -7] ⋅ [3, -7, -8]",91,-21,56
729,"[7, 2, -9] ⋅ [3, 5, -3]",58,21,27
730,"[-7, -10, -5] ⋅ [-7, -5, -1]",104,49,5
731,"[-1, -4, 3] ⋅ [-2, -10, 8]",66,2,24
732,"[-10, 3, -8] ⋅ [-7, 5, 6]",37,70,-48
733,"[5, -7, 9] ⋅ [-1, 4, -5]",-78,-5,-45
734,"[-8, 2, -10] ⋅ [9, 7, 0]",-58,-72,0
735,"[-10, 9, -5] ⋅ [-8, -2, -1]",67,80,5
736,"[-6, -6, 9] ⋅ [6, -5, -1]",-15,-36,-9
737,"[2, 2, 1] ⋅ [0, 2, 9]",13,0,9
738,"[0, 5, -3] ⋅ [4, -7, -7]",-14,0,21
739,"[-2, -4, 9] ⋅ [-3, -5, -1]",17,6,-9
740,"[9, 6, -1] ⋅ [-4, -8, -1]",-83,-36,1
741,"[-1, 5, 1] ⋅ [5, 1, 3]",3,-5,3
742,"[-8, -5, -8] ⋅ [-6, 5, -3]",47,48,24
743,"[5, -9, -7] ⋅ [-4, 8, 2]",-106,-20,-14
744,"[-10, -5, -5] ⋅ [-4, -3, 9]",10,40,-45
745,"[1, -1, -4] ⋅ [4, 1, -10]",43,4,40
746,"[3, 0, -9] ⋅ [-8, 4, -6]",30,-24,54
747,"[2, -4, 4] ⋅ [-9, -7, -3]",-2,-18,-12
748,"[-4, 8, 4] ⋅ [4, -9, -8]",-120,-16,-32
749,"[-5, -10, 6] ⋅ [5, -1, -7]",-57,-25,-42
750,"[-4, -3, 8] ⋅ [-2, -1, 0]",11,8,0
751,"[3, -9, -7] ⋅ [-6, -10, -6]",114,-18,42
752,"[-5, -3, -5] ⋅ [7, -9, 7]",-43,-35,-35
753,"[-5, 1, -5] ⋅ [-3, 0, 4]",-5,15,-20
754,"[0, -2, -8] ⋅ [2, 6, 6]",-60,0,-48
755,"[-5, -3, -1] ⋅ [9, -8, -1]",-20,-45,1
756,"[0, -5, -10] ⋅ [-4, -2, 1]",0,0,-10
757,"[1, -6, 9] ⋅ [-6, 4, -7]",-93,-6,-63
758,"[-5, 2, 3] ⋅ [9, -6, -4]",-69,-45,-12
759,"[0, 8, -1] ⋅ [4, -8, 3]",-67,0,-3
760,"[1, 4, 0] ⋅ [-8, -4, -3]",-24,-8,0
761,"[-2, 2, 4] ⋅ [-1, -7, 5]",8,2,20
762,"[-3, -3, -10] ⋅ [2, 4, -10]",82,-6,100
763,"[2, 4, 0] ⋅ [0, -3, -3]",-12,0,0
764,"[-7, 1, -8] ⋅ [-10, -10, -2]",76,70,16
765,"[1, -8, -4] ⋅ [3, 5, -4]",-21,3,16
766,"[5, 9, -7] ⋅ [5, -10, -1]",-58,25,7
767,"[-5, 6, -7] ⋅ [-4, 3, -6]",80,20,42
768,"[-9, -5, -6] ⋅ [2, 9, 0]",-63,-18,0
769,"[1, 4, 1] ⋅ [-4, -10, -8]",-52,-4,-8
770,"[-2, 6, 2] ⋅ [-10, -4, -8]",-20,20,-16
771,"[4, 2, -8] ⋅ [5, 7, 3]",10,20,-24
772,"[-10, 3, 7] ⋅ [-3, -10, 1]",7,30,7
773,"[-7, 1, -6] ⋅ [7, -1, -7]",-8,-49,42
774,"[5, -2, -9] ⋅ [9, 3, -5]",84,45,45
775,"[8, 8, 1] ⋅ [-10, -3, 0]",-104,-80,0
776,"[-1, -6, -10] ⋅ [-3, 4, -5]",29,3,50
777,"[-8, 1, -1] ⋅ [2, -5, -8]",-13,-16,8
778,"[-8, -3, 9] ⋅ [8, 4, -5]",-121,-64,-45
779,"[7, 8, -3] ⋅ [-6, 4, -5]",5,-42,15
780,"[9, -1, 1] ⋅ [-10, 3, 9]",-84,-90,9
781,"[6, -2, -9] ⋅ [-6, -7, -3]",5,-36,27
782,"[-7, -2, -3] ⋅ [1, -3, -4]",11,-7,12
783,"[-4, -1, 4] ⋅ [-10, 6, 7]",62,40,28
784,"[-5, -7, -7] ⋅ [1, 9, 1]",-75,-5,-7
785,"[-3, 2, -2] ⋅ [-1, -3, 3]",-9,3,-6
786,"[-7, 2, -9] ⋅ [5, -3, 1]",-50,-35,-9
787,"[-10, 5, 3] ⋅ [-7, -1, 7]",86,70,21
788,"[8, -5, -1] ⋅ [-5, 3, -9]",-46,-40,9
